0,0
0.0084253,0.0092678
0.016835,0.018519
0.025229,0.027752
0.033608,0.036969
0.041971,0.046168
0.050319,0.055351
0.058651,0.064516
0.066968,0.073665
0.07527,0.082797
0.083556,0.091912
0.091827,0.10101
0.10008,0.11009
0.10832,0.11916
0.11655,0.12821
0.12476,0.13724
0.13296,0.14625
0.14114,0.15525
0.1493,0.16423
0.15745,0.1732
0.16559,0.18215
0.17371,0.19108
0.18182,0.2
0.18991,0.2089
0.19799,0.21779
0.20605,0.22665
0.2141,0.23551
0.22213,0.24434
0.23015,0.25316
0.23815,0.26197
0.24614,0.27076
0.25412,0.27953
0.26208,0.28829
0.27003,0.29703
0.27796,0.30576
0.28588,0.31447
0.29378,0.32316
0.30167,0.33184
0.30955,0.3405
0.31741,0.34915
0.32526,0.35778
0.33309,0.3664
0.34091,0.375
0.34871,0.38359
0.35651,0.39216
0.36428,0.40071
0.37205,0.40925
0.3798,0.41778
0.38753,0.42629
0.39526,0.43478
